sun	1.0000e00 	3.587003585626667e-03   3.334191493794558e-03  -1.602331267710586e-04   -0.000693592077312   0.00250748454047   1.38724066949e-05
mercury	1.65950564835e-7	1.074211685901411e-01   2.976293366117765e-01   3.407126734666126e-02   -11.6791354784   -3.24190556974   0.806308581684
venus	24.1382639761e-7	1.755519055370950e-02  -7.231667602593760e-01  -8.901761861443834e-03   7.33451269244   -0.240025048344   -0.426599170148
earth	3.00329789032e-6	9.856186855782008e-01   1.936737446562445e-01  -1.748039382785424e-04   -1.30039381033   6.15007332808   -0.000318971319399
mars	3.2234640018e-7	1.064672328514961e+00  -8.871316092113410e-01  -4.486179159608088e-02   3.47887516952   4.35587957708   0.00584558285936
jupiter	954.517476103e-6	5.433905098479568e+00  -3.747342046627403e-01   1.230804259437451e-01   0.157587749087   -2.61958818202   0.00735024991931
saturn	2.85796542596e-4	2.323425645293604e+00  -9.760588219958770e+00   2.621808800029035e-01   1.87086793988   -0.478287487157   -0.0661367097966
uranus	43.6500273567e-6	1.847989645950830e+01   7.523388176802539e+00  -2.114685355725528e-01   -0.552130870469   1.26355431489   0.0118549160914
neptune	51.4949631489e-6	2.824970435928081e+01  -9.955073269795195e+00  -4.460369143351584e-01   0.373543665244   1.08835351635   -0.0309485511857
