Simulation of solar system over 1 years, with 10000 iterations.
Time 	sun	 	earth	 	jupiter	 	
0.005,	-5.47941e-006,-0.000513461,0,	0.999309,0.0318447,0,	-0.0320225,-0.999487,0
0.0051,	-5.80829e-006,-0.000533796,0,	0.999282,0.0324654,0,	-0.0326502,-0.999466,0
0.0052,	-6.15008e-006,-0.000554526,0,	0.999254,0.033086,0,	-0.0332778,-0.999445,0
0.0053,	-6.50502e-006,-0.000575651,0,	0.999225,0.0337064,0,	-0.0339055,-0.999424,0
0.0054,	-6.87337e-006,-0.000597171,0,	0.999196,0.0343267,0,	-0.0345331,-0.999403,0
0.0055,	-7.25538e-006,-0.000619086,0,	0.999167,0.0349468,0,	-0.0351607,-0.999381,0
0.0056,	-7.65128e-006,-0.000641396,0,	0.999137,0.0355668,0,	-0.0357883,-0.999359,0
0.0057,	-8.06134e-006,-0.000664101,0,	0.999107,0.0361866,0,	-0.0364159,-0.999336,0
0.0058,	-8.4858e-006,-0.000687201,0,	0.999076,0.0368063,0,	-0.0370435,-0.999313,0
0.0059,	-8.9249e-006,-0.000710696,0,	0.999044,0.0374258,0,	-0.0376711,-0.999289,0
0.006,	-9.37891e-006,-0.000734586,0,	0.999012,0.0380452,0,	-0.0382986,-0.999265,0
0.0061,	-9.84806e-006,-0.000758871,0,	0.99898,0.0386645,0,	-0.0389261,-0.999241,0
0.0062,	-1.03326e-005,-0.000783552,0,	0.998947,0.0392836,0,	-0.0395537,-0.999216,0
0.0063,	-1.08328e-005,-0.000808627,0,	0.998913,0.0399026,0,	-0.0401812,-0.999191,0
0.0064,	-1.13489e-005,-0.000834098,0,	0.998879,0.0405214,0,	-0.0408086,-0.999166,0
0.0065,	-1.18811e-005,-0.000859963,0,	0.998844,0.0411401,0,	-0.0414361,-0.99914,0
0.0066,	-1.24298e-005,-0.000886224,0,	0.998809,0.0417586,0,	-0.0420636,-0.999114,0
0.0067,	-1.29951e-005,-0.00091288,0,	0.998773,0.042377,0,	-0.042691,-0.999087,0
0.0068,	-1.35772e-005,-0.000939931,0,	0.998737,0.0429952,0,	-0.0433184,-0.99906,0
0.0069,	-1.41765e-005,-0.000967378,0,	0.9987,0.0436133,0,	-0.0439458,-0.999033,0
0.007,	-1.47933e-005,-0.000995219,0,	0.998663,0.0442313,0,	-0.0445732,-0.999005,0
0.0071,	-1.54276e-005,-0.00102346,0,	0.998625,0.0448491,0,	-0.0452006,-0.998977,0
0.0072,	-1.60798e-005,-0.00105209,0,	0.998587,0.0454667,0,	-0.0458279,-0.998948,0
0.0073,	-1.67502e-005,-0.00108111,0,	0.998548,0.0460842,0,	-0.0464552,-0.998919,0
0.0074,	-1.7439e-005,-0.00111054,0,	0.998509,0.0467016,0,	-0.0470826,-0.998889,0
0.0075,	-1.81464e-005,-0.00114035,0,	0.998469,0.0473188,0,	-0.0477098,-0.99886,0
0.0076,	-1.88727e-005,-0.00117057,0,	0.998429,0.0479359,0,	-0.0483371,-0.998829,0
0.0077,	-1.96182e-005,-0.00120117,0,	0.998388,0.0485528,0,	-0.0489644,-0.998799,0
0.0078,	-2.0383e-005,-0.00123218,0,	0.998346,0.0491696,0,	-0.0495916,-0.998768,0
0.0079,	-2.11675e-005,-0.00126358,0,	0.998304,0.0497862,0,	-0.0502188,-0.998736,0
0.008,	-2.19719e-005,-0.00129537,0,	0.998262,0.0504027,0,	-0.050846,-0.998705,0
0.0081,	-2.27964e-005,-0.00132756,0,	0.998219,0.051019,0,	-0.0514732,-0.998672,0
0.0082,	-2.36413e-005,-0.00136014,0,	0.998175,0.0516352,0,	-0.0521004,-0.99864,0
0.0083,	-2.45068e-005,-0.00139312,0,	0.998131,0.0522512,0,	-0.0527275,-0.998607,0
0.0084,	-2.53933e-005,-0.0014265,0,	0.998087,0.0528671,0,	-0.0533546,-0.998574,0
0.0085,	-2.63009e-005,-0.00146027,0,	0.998042,0.0534829,0,	-0.0539817,-0.99854,0
0.0086,	-2.72298e-005,-0.00149443,0,	0.997996,0.0540985,0,	-0.0546088,-0.998506,0
0.0087,	-2.81805e-005,-0.00152899,0,	0.99795,0.0547139,0,	-0.0552358,-0.998471,0
0.0088,	-2.9153e-005,-0.00156395,0,	0.997903,0.0553292,0,	-0.0558628,-0.998436,0
0.0089,	-3.01476e-005,-0.0015993,0,	0.997856,0.0559444,0,	-0.0564898,-0.998401,0
0.009,	-3.11647e-005,-0.00163505,0,	0.997808,0.0565594,0,	-0.0571168,-0.998365,0
0.0091,	-3.22044e-005,-0.00167119,0,	0.99776,0.0571742,0,	-0.0577438,-0.998329,0
0.0092,	-3.3267e-005,-0.00170773,0,	0.997711,0.0577889,0,	-0.0583707,-0.998292,0
0.0093,	-3.43527e-005,-0.00174466,0,	0.997662,0.0584035,0,	-0.0589976,-0.998255,0
0.0094,	-3.54619e-005,-0.00178199,0,	0.997612,0.0590179,0,	-0.0596245,-0.998218,0
0.0095,	-3.65947e-005,-0.00181972,0,	0.997562,0.0596322,0,	-0.0602514,-0.99818,0
