Simulation of solar system over 1 years, with 1000 iterations, using verlet´s method.
Time 	sun	 	earth	 	
0.114,	0,0,0,	0.750081,0.660967,0
0.115,	0,0,0,	0.74591,0.665664,0
0.116,	0,0,0,	0.741709,0.670335,0
0.117,	0,0,0,	0.73748,0.674979,0
0.118,	0,0,0,	0.733221,0.679597,0
0.119,	0,0,0,	0.728933,0.684187,0
0.12,	0,0,0,	0.724616,0.688751,0
0.121,	0,0,0,	0.720271,0.693288,0
0.122,	0,0,0,	0.715898,0.697797,0
0.123,	0,0,0,	0.711496,0.702278,0
0.124,	0,0,0,	0.707066,0.706732,0
0.125,	0,0,0,	0.702608,0.711158,0
0.126,	0,0,0,	0.698122,0.715556,0
0.127,	0,0,0,	0.693608,0.719925,0
0.128,	0,0,0,	0.689068,0.724266,0
0.129,	0,0,0,	0.6845,0.728579,0
0.13,	0,0,0,	0.679905,0.732862,0
0.131,	0,0,0,	0.675283,0.737117,0
0.132,	0,0,0,	0.670634,0.741343,0
0.133,	0,0,0,	0.665959,0.745539,0
0.134,	0,0,0,	0.661258,0.749706,0
0.135,	0,0,0,	0.65653,0.753843,0
0.136,	0,0,0,	0.651777,0.75795,0
0.137,	0,0,0,	0.646997,0.762028,0
0.138,	0,0,0,	0.642192,0.766075,0
0.139,	0,0,0,	0.637362,0.770092,0
0.14,	0,0,0,	0.632507,0.774078,0
0.141,	0,0,0,	0.627626,0.778034,0
0.142,	0,0,0,	0.622721,0.78196,0
0.143,	0,0,0,	0.617791,0.785854,0
0.144,	0,0,0,	0.612837,0.789717,0
0.145,	0,0,0,	0.607859,0.793549,0
0.146,	0,0,0,	0.602856,0.79735,0
0.147,	0,0,0,	0.59783,0.801119,0
0.148,	0,0,0,	0.59278,0.804857,0
0.149,	0,0,0,	0.587707,0.808563,0
0.15,	0,0,0,	0.58261,0.812236,0
0.151,	0,0,0,	0.57749,0.815878,0
0.152,	0,0,0,	0.572348,0.819487,0
0.153,	0,0,0,	0.567183,0.823064,0
0.154,	0,0,0,	0.561995,0.826609,0
0.155,	0,0,0,	0.556786,0.830121,0
0.156,	0,0,0,	0.551554,0.833599,0
0.157,	0,0,0,	0.5463,0.837045,0
0.158,	0,0,0,	0.541025,0.840458,0
0.159,	0,0,0,	0.535729,0.843838,0
0.16,	0,0,0,	0.530411,0.847184,0
0.161,	0,0,0,	0.525072,0.850497,0
0.162,	0,0,0,	0.519713,0.853777,0
0.163,	0,0,0,	0.514333,0.857022,0
0.164,	0,0,0,	0.508933,0.860234,0
0.165,	0,0,0,	0.503512,0.863411,0
0.166,	0,0,0,	0.498072,0.866555,0
0.167,	0,0,0,	0.492612,0.869664,0
0.168,	0,0,0,	0.487133,0.872739,0
0.169,	0,0,0,	0.481634,0.875779,0
0.17,	0,0,0,	0.476116,0.878784,0
0.171,	0,0,0,	0.470579,0.881755,0
0.172,	0,0,0,	0.465024,0.884691,0
0.173,	0,0,0,	0.45945,0.887592,0
0.174,	0,0,0,	0.453859,0.890458,0
0.175,	0,0,0,	0.448249,0.893289,0
0.176,	0,0,0,	0.442621,0.896085,0
0.177,	0,0,0,	0.436976,0.898845,0
0.178,	0,0,0,	0.431314,0.901569,0
0.179,	0,0,0,	0.425635,0.904258,0
0.18,	0,0,0,	0.419939,0.906911,0
0.181,	0,0,0,	0.414226,0.909528,0
0.182,	0,0,0,	0.408497,0.912109,0
0.183,	0,0,0,	0.402752,0.914654,0
0.184,	0,0,0,	0.39699,0.917163,0
0.185,	0,0,0,	0.391213,0.919636,0
0.186,	0,0,0,	0.385421,0.922072,0
0.187,	0,0,0,	0.379613,0.924472,0
0.188,	0,0,0,	0.373791,0.926835,0
0.189,	0,0,0,	0.367953,0.929162,0
0.19,	0,0,0,	0.362101,0.931452,0
0.191,	0,0,0,	0.356235,0.933705,0
0.192,	0,0,0,	0.350355,0.935921,0
0.193,	0,0,0,	0.34446,0.9381,0
0.194,	0,0,0,	0.338553,0.940242,0
0.195,	0,0,0,	0.332631,0.942347,0
0.196,	0,0,0,	0.326697,0.944414,0
0.197,	0,0,0,	0.32075,0.946444,0
0.198,	0,0,0,	0.314789,0.948437,0
0.199,	0,0,0,	0.308817,0.950392,0
0.2,	0,0,0,	0.302832,0.95231,0
0.201,	0,0,0,	0.296836,0.954189,0
0.202,	0,0,0,	0.290827,0.956032,0
0.203,	0,0,0,	0.284807,0.957836,0
0.204,	0,0,0,	0.278776,0.959602,0
0.205,	0,0,0,	0.272734,0.961331,0
0.206,	0,0,0,	0.266681,0.963021,0
0.207,	0,0,0,	0.260617,0.964673,0
0.208,	0,0,0,	0.254543,0.966288,0
0.209,	0,0,0,	0.248459,0.967864,0
0.21,	0,0,0,	0.242365,0.969401,0
0.211,	0,0,0,	0.236262,0.9709,0
0.212,	0,0,0,	0.230149,0.972361,0
0.213,	0,0,0,	0.224027,0.973784,0
0.214,	0,0,0,	0.217897,0.975167,0
0.215,	0,0,0,	0.211757,0.976513,0
0.216,	0,0,0,	0.20561,0.977819,0
0.217,	0,0,0,	0.199454,0.979087,0
0.218,	0,0,0,	0.19329,0.980316,0
0.219,	0,0,0,	0.187119,0.981507,0
0.22,	0,0,0,	0.18094,0.982658,0
0.221,	0,0,0,	0.174754,0.983771,0
0.222,	0,0,0,	0.168561,0.984844,0
0.223,	0,0,0,	0.162362,0.985879,0
0.224,	0,0,0,	0.156156,0.986875,0
0.225,	0,0,0,	0.149943,0.987832,0
0.226,	0,0,0,	0.143725,0.988749,0
0.227,	0,0,0,	0.137502,0.989627,0
0.228,	0,0,0,	0.131272,0.990467,0
0.229,	0,0,0,	0.125038,0.991267,0
0.23,	0,0,0,	0.118799,0.992028,0
0.231,	0,0,0,	0.112555,0.992749,0
0.232,	0,0,0,	0.106306,0.993431,0
0.233,	0,0,0,	0.100053,0.994074,0
0.234,	0,0,0,	0.0937966,0.994678,0
0.235,	0,0,0,	0.0875362,0.995242,0
0.236,	0,0,0,	0.0812723,0.995767,0
0.237,	0,0,0,	0.0750052,0.996252,0
0.238,	0,0,0,	0.0687352,0.996698,0
0.239,	0,0,0,	0.0624624,0.997104,0
0.24,	0,0,0,	0.0561871,0.997471,0
0.241,	0,0,0,	0.0499097,0.997799,0
0.242,	0,0,0,	0.0436302,0.998087,0
0.243,	0,0,0,	0.037349,0.998335,0
0.244,	0,0,0,	0.0310664,0.998544,0
0.245,	0,0,0,	0.0247825,0.998714,0
0.246,	0,0,0,	0.0184976,0.998844,0
0.247,	0,0,0,	0.012212,0.998934,0
0.248,	0,0,0,	0.00592595,0.998985,0
0.249,	0,0,0,	-0.000360364,0.998996,0
0.25,	0,0,0,	-0.00664667,0.998967,0
0.251,	0,0,0,	-0.0129327,0.9989,0
0.252,	0,0,0,	-0.0192182,0.998792,0
0.253,	0,0,0,	-0.025503,0.998645,0
0.254,	0,0,0,	-0.0317868,0.998458,0
0.255,	0,0,0,	-0.0380693,0.998232,0
0.256,	0,0,0,	-0.0443502,0.997967,0
0.257,	0,0,0,	-0.0506295,0.997662,0
0.258,	0,0,0,	-0.0569067,0.997317,0
0.259,	0,0,0,	-0.0631817,0.996933,0
0.26,	0,0,0,	-0.0694542,0.996509,0
0.261,	0,0,0,	-0.0757239,0.996046,0
0.262,	0,0,0,	-0.0819906,0.995543,0
0.263,	0,0,0,	-0.0882541,0.995001,0
0.264,	0,0,0,	-0.0945141,0.99442,0
0.265,	0,0,0,	-0.10077,0.993799,0
0.266,	0,0,0,	-0.107023,0.993139,0
0.267,	0,0,0,	-0.113271,0.992439,0
0.268,	0,0,0,	-0.119514,0.991701,0
0.269,	0,0,0,	-0.125753,0.990923,0
0.27,	0,0,0,	-0.131987,0.990105,0
0.271,	0,0,0,	-0.138215,0.989249,0
0.272,	0,0,0,	-0.144438,0.988353,0
0.273,	0,0,0,	-0.150656,0.987418,0
0.274,	0,0,0,	-0.156867,0.986444,0
0.275,	0,0,0,	-0.163072,0.985431,0
0.276,	0,0,0,	-0.169271,0.984379,0
0.277,	0,0,0,	-0.175463,0.983287,0
0.278,	0,0,0,	-0.181648,0.982157,0
0.279,	0,0,0,	-0.187826,0.980988,0
0.28,	0,0,0,	-0.193996,0.97978,0
0.281,	0,0,0,	-0.200159,0.978534,0
0.282,	0,0,0,	-0.206314,0.977248,0
0.283,	0,0,0,	-0.212461,0.975924,0
0.284,	0,0,0,	-0.218599,0.974561,0
0.285,	0,0,0,	-0.224728,0.97316,0
0.286,	0,0,0,	-0.230849,0.97172,0
0.287,	0,0,0,	-0.236961,0.970241,0
0.288,	0,0,0,	-0.243063,0.968724,0
0.289,	0,0,0,	-0.249155,0.967169,0
0.29,	0,0,0,	-0.255238,0.965575,0
0.291,	0,0,0,	-0.26131,0.963943,0
0.292,	0,0,0,	-0.267373,0.962273,0
0.293,	0,0,0,	-0.273424,0.960565,0
0.294,	0,0,0,	-0.279465,0.958818,0
0.295,	0,0,0,	-0.285494,0.957034,0
0.296,	0,0,0,	-0.291513,0.955212,0
0.297,	0,0,0,	-0.29752,0.953351,0
0.298,	0,0,0,	-0.303515,0.951453,0
0.299,	0,0,0,	-0.309497,0.949518,0
0.3,	0,0,0,	-0.315468,0.947545,0
0.301,	0,0,0,	-0.321426,0.945534,0
0.302,	0,0,0,	-0.327372,0.943485,0
0.303,	0,0,0,	-0.333304,0.9414,0
0.304,	0,0,0,	-0.339224,0.939277,0
0.305,	0,0,0,	-0.345129,0.937116,0
0.306,	0,0,0,	-0.351021,0.934919,0
0.307,	0,0,0,	-0.3569,0.932685,0
0.308,	0,0,0,	-0.362764,0.930413,0
0.309,	0,0,0,	-0.368613,0.928105,0
0.31,	0,0,0,	-0.374448,0.92576,0
0.311,	0,0,0,	-0.380269,0.923378,0
0.312,	0,0,0,	-0.386074,0.920959,0
0.313,	0,0,0,	-0.391864,0.918504,0
0.314,	0,0,0,	-0.397638,0.916013,0
0.315,	0,0,0,	-0.403397,0.913486,0
0.316,	0,0,0,	-0.409139,0.910922,0
0.317,	0,0,0,	-0.414865,0.908322,0
0.318,	0,0,0,	-0.420575,0.905686,0
0.319,	0,0,0,	-0.426269,0.903014,0
0.32,	0,0,0,	-0.431945,0.900306,0
0.321,	0,0,0,	-0.437604,0.897563,0
0.322,	0,0,0,	-0.443246,0.894784,0
0.323,	0,0,0,	-0.44887,0.891969,0
0.324,	0,0,0,	-0.454477,0.889119,0
0.325,	0,0,0,	-0.460065,0.886234,0
0.326,	0,0,0,	-0.465635,0.883314,0
0.327,	0,0,0,	-0.471187,0.880359,0
0.328,	0,0,0,	-0.47672,0.877369,0
0.329,	0,0,0,	-0.482234,0.874344,0
0.33,	0,0,0,	-0.487729,0.871284,0
0.331,	0,0,0,	-0.493205,0.86819,0
0.332,	0,0,0,	-0.498661,0.865061,0
0.333,	0,0,0,	-0.504097,0.861898,0
0.334,	0,0,0,	-0.509514,0.858701,0
0.335,	0,0,0,	-0.51491,0.85547,0
0.336,	0,0,0,	-0.520286,0.852205,0
0.337,	0,0,0,	-0.525641,0.848906,0
0.338,	0,0,0,	-0.530975,0.845573,0
0.339,	0,0,0,	-0.536288,0.842207,0
0.34,	0,0,0,	-0.54158,0.838808,0
0.341,	0,0,0,	-0.546851,0.835375,0
0.342,	0,0,0,	-0.552099,0.831909,0
0.343,	0,0,0,	-0.557326,0.82841,0
0.344,	0,0,0,	-0.562531,0.824879,0
0.345,	0,0,0,	-0.567713,0.821314,0
0.346,	0,0,0,	-0.572873,0.817717,0
0.347,	0,0,0,	-0.57801,0.814088,0
0.348,	0,0,0,	-0.583125,0.810426,0
0.349,	0,0,0,	-0.588216,0.806732,0
0.35,	0,0,0,	-0.593284,0.803006,0
0.351,	0,0,0,	-0.598328,0.799248,0
0.352,	0,0,0,	-0.603348,0.795459,0
0.353,	0,0,0,	-0.608345,0.791638,0
0.354,	0,0,0,	-0.613317,0.787785,0
0.355,	0,0,0,	-0.618266,0.783902,0
